ID,Name,Age,Gender,City,Country,CreditCard,FullAddress,UserSignUpDate,UserLastPurchaseDate,UserStatus,UserTotalPurchases,UserSegment,UserLocation,UserSourceType,UserLastLoginDate,UserPurchaseFrequency,Product Name,Category,Subcategory,Price,Date_Purchase,Quantity,Rating,Comment
13,Ryan Burnett,99,M,Johnschester,Iceland,2713184823223967,"55219 Cynthia Parkways, Lake David, NE 71682",2022-12-09,2023-08-15,Active,3,Occasional Shopper,Lake Erichaven,Referral,2023-08-17,Monthly,TastyBeverages,Grocery,Beverages,-98,2022-10-28,-2,4,Town tree black trip like another explain.
14,Frank Reyes,19,M,Bakermouth,Taiwan,2297357514861600,"577 Randy Prairie Suite 749, Lake Alexandra, NE 80977",2022-12-22,2023-06-18,Active,7,Frequent Shopper,East Stephenfurt,Organic Search,2023-06-22,Yearly,ChairPlus,Furniture,Chair,-34,2023-01-12,-2,4,Over offer remember.
15,Thomas Wang,44,F,Port Nicole,Peru,2419812079340443,"1804 Gabriel Cliff Suite 457, Jerryport, IA 06813",2022-12-30,2023-03-31,Churned,10,Frequent Shopper,Mayville,Referral,2023-06-08,Yearly,UltraLaptop,Electronics,Laptop,458,2021-01-11,0,0,Learn if side ground ten buy.
16,Kevin Obrien,3,M,Penaside,Bosnia and Herzegovina,2293893566103974,"914 Tanya Courts, Davidton, ID 44312",2022-09-09,2023-01-15,Churned,9,Frequent Shopper,Reynoldshaven,Referral,2023-04-14,Yearly,PantsWear,Clothing,Pants,-62,2022-11-12,0,6,Who probably myself enjoy require people scene specific.
17,Rodney Sweeney,34,F,Port Aliciaview,Aruba,2262200324987655,"9898 Velez Road Suite 454, East Marie, AL 00803",2023-06-22,2023-07-12,Active,5,Occasional Shopper,New Rhondaport,Organic Search,2023-07-21,Yearly,FreshVegetables,Grocery,Vegetables,-55,2021-08-28,6,6,Edge record skin in require color.
18,Andrea Freeman,17,F,Roweshire,Cyprus,5195243583158209,"4789 Jensen Dale, East Hunter, UT 94647",2022-07-03,2022-09-22,Churned,5,Occasional Shopper,New Megan,Referral,2022-10-31,Yearly,The Art of Non-fiction,Books,Non-fiction,966,2022-04-01,-2,4,Bill technology sure president two set.
19,Kimberly Taylor,150,M,Josestad,Chile,2299284966267920,"5664 Avila Fort Apt. 871, East Jeffreyburgh, AL 42854",2022-06-26,2023-01-26,Churned,4,Occasional Shopper,Maloneville,Organic Search,2023-04-06,Yearly,ProShirt,Clothing,Shirt,-17,2021-07-25,6,3,Early animal worker for probably discuss young.
20,Kendra Walton,69,M,Hollyburgh,Finland,2253575725031281,"85598 Randall Harbors Apt. 620, Port Joelshire, ID 58174",2021-12-05,2022-02-18,Churned,15,High Value,New Jeffrey,Organic Search,2023-05-24,Rarely,,Electronics,Speaker,107,2021-11-13,10,1,Least teacher indicate assume case.
21,Susan Martin,150,F,South Joseph,Algeria,2702770504218160,"73622 John Valley, Lake Julieport, AS 03714",2022-06-05,2023-05-27,Churned,12,High Value,North Katherinemouth,Referral,2023-08-12,Yearly,The Art of Fiction,Books,Fiction,-4,2021-07-16,-3,5,Improve open example television significant.
22,Edward Munoz,3,F,East Wesley,Bangladesh,5421270250842290,"4478 Allison Pine, Ellenstad, NV 35691",2023-03-27,2023-06-16,Active,8,Frequent Shopper,Donovanport,Referral,2023-06-25,Yearly,VegetablesBurst,Grocery,Vegetables,22,2023-01-01,-3,4,Thing interview though begin call may.
23,Kimberly Baldwin,-1,M,Cookville,Saudi Arabia,2294668428084243,"61026 Chandler Islands Apt. 725, Williamsburgh, AR 77876",2023-01-26,2023-03-07,Churned,11,High Value,New Mollyport,Paid Ads,2023-03-27,Yearly,TastyBeverages,Grocery,Beverages,166,2023-07-18,-1,3,Along officer its success data or teach.
24,Ricardo Johnston,150,M,Lake Kimberly,Spain,2694395480935981,"9576 Dana Burgs Suite 464, Port Vanessatown, MT 66440",2022-03-22,2023-01-20,Churned,6,Frequent Shopper,Cherylfort,Organic Search,2023-06-22,Yearly,LaptopMaster,Electronics,Laptop,466,2021-09-26,-1,2,Series write movement real skin bar sport big.
25,Kimberly Maynard,150,F,West Amy,North Macedonia,2291744570984895,"74344 Ramsey Crest, East Michelle, ND 68512",2022-02-06,2022-04-10,Churned,3,Occasional Shopper,Port Deanna,Paid Ads,2022-06-20,Rarely,ComfortSofa,Furniture,Sofa,-75,2022-05-08,4,2,Father answer society.
26,Sean Tucker,-2,M,North Jesse,Netherlands Antilles,5310169921857907,"3032 Dillon Prairie Suite 506, South Christopherside, VI 87253",2022-07-06,2022-07-22,Churned,1,Occasional Shopper,Williamville,Paid Ads,2023-04-10,Rarely,ComfortChair,Furniture,Chair,-63,2022-06-20,-3,5,Night sometimes behavior.
27,Kimberly Clark,150,F,South Josechester,Finland,2326435332771501,"52622 Clark Causeway Suite 029, Brentstad, OK 28683",2023-08-11,2023-08-18,Active,13,High Value,North Donaldtown,Referral,2023-08-20,Monthly,SofaPlus,Furniture,Sofa,-13,2022-02-04,9,0,Production compare agency.
28,Sara Gonzalez,80,M,Lake Robert,Canada,2251936295374117,"3725 Thomas Streets Suite 661, Michaelside, CT 12247",2022-05-11,2023-01-29,Churned,1,Occasional Shopper,Danahaven,Referral,2023-05-28,Yearly,BeveragesBurst,Grocery,Beverages,-85,2023-08-12,10,-1,Crime cold blood each and.
29,William Chambers,19,F,East Janetburgh,Bahrain,5552193388747754,"50081 James Junction Suite 879, Ramosbury, TX 06502",2021-12-22,2022-02-09,Churned,5,Occasional Shopper,Christopherbury,Referral,2023-03-01,Rarely,UltraSpeaker,Electronics,Speaker,776,2022-04-15,3,3,Effort positive movement spring point research.
30,Heather Pena,-4,F,Richardberg,Colombia,5261201912125017,"38253 Hoffman View, West Craig, MA 75698",2023-05-21,2023-06-07,Active,11,High Value,North Dennis,Paid Ads,2023-06-10,Yearly,Non-fictionDeluxe,Books,Non-fiction,-62,2022-08-26,4,0,Measure during fill born.
31,Michelle Torres,99,M,Dudleyborough,Reunion,2429807510293720,"96972 Deborah Terrace Suite 935, New Julie, GA 32965",2022-01-28,2022-10-30,Churned,2,Occasional Shopper,Lake Charles,Organic Search,2023-07-02,Yearly,ChairDeluxe,Furniture,Chair,-12,2021-07-16,-3,5,Degree quality concern occur me nation and.
32,Troy Clark,54,F,North Amyfurt,Holy See (Vatican City State),2485682590041583,"8827 Jenkins Dam, South Sarahmouth, MP 89208",2023-07-28,2023-08-24,Active,9,Frequent Shopper,Melissafurt,Paid Ads,2023-08-25,Monthly,PhonePro,Electronics,Phone,-94,2021-11-11,-3,6,Prepare lawyer describe her.
33,Frank Pena,11,F,Shellymouth,Mali,2668054659135269,"6608 Moody Cove, Port Joshua, RI 77593",2023-06-25,2023-08-07,Active,6,Frequent Shopper,Kendratown,Organic Search,2023-08-07,Monthly,FictionTales,Books,Fiction,422,2023-05-17,-2,2,View foreign so break student leave Republican.
34,Jason Gilbert,150,M,New Chadhaven,British Virgin Islands,5290196934430533,"4983 Robinson Fork, Mcbrideville, NM 96000",2022-01-14,2022-02-12,Churned,13,High Value,Meganfort,Organic Search,2022-12-17,Rarely,ComfortChair,Furniture,Chair,954,2020-09-03,-5,0,Rise measure enough campaign wind impact.
35,Jessica Martin,-1,F,Vegaport,Uruguay,2253116282016710,"505 Juan Shores, East Jasmine, GA 77996",2022-08-04,2023-04-06,Churned,14,High Value,East Allison,Referral,2023-06-21,Yearly,MegaLaptop,Electronics,Laptop,1000,2021-03-08,9,5,Or condition executive anyone.
36,Kelly Orozco,150,M,South Glendaberg,Kuwait,5104523961699282,"246 Harmon Knoll Apt. 816, New Jacob, RI 02702",2022-12-01,2023-06-16,Active,9,Frequent Shopper,Port Daniel,Paid Ads,2023-08-18,Yearly,EducationalTales,Books,Educational,-34,2021-08-05,7,3,Green campaign toward do simple relationship American.
37,Lauren Reed,150,M,Stevenburgh,Egypt,2254023603475386,"USS Tran, FPO AA 01558",2022-06-09,2023-03-23,Churned,1,Occasional Shopper,New Thomasshire,Referral,2023-05-08,Yearly,FreshVegetables,Grocery,Vegetables,-99,2021-02-24,-5,5,Very she someone ok hair hit.
38,Laura Wilson MD,150,M,Darinburgh,Philippines,2655856325320850,"52359 Christopher Passage, Shaneberg, OH 39569",2023-03-13,2023-07-21,Active,1,Occasional Shopper,Port Juliebury,Paid Ads,2023-07-21,Yearly,LaptopPro,Electronics,Laptop,-80,2021-01-21,9,0,Effort fast community mother phone.
39,Nancy Bell,1,F,Owensborough,Marshall Islands,2246622463695230,"51892 Diaz Pike Suite 932, South Jacob, WA 35488",2022-08-07,2022-11-05,Churned,5,Occasional Shopper,North Karen,Referral,2023-06-09,Yearly,FictionTales,Books,Fiction,-18,2021-12-13,-4,5,Report discussion message they.
40,David Jones,150,M,Duranland,Mismatched Country,2702789931985977,"579 Brown Burg, Kingfurt, HI 40336",2022-04-06,2023-06-12,Active,4,Occasional Shopper,Stephanieshire,Organic Search,2023-08-03,Yearly,,Books,Educational,-28,2020-10-25,-4,3,Such girl capital citizen often.
41,Marie Weber,-2,F,South Alisonville,Congo,2603258355593113,"039 Moore Expressway Apt. 152, Patrickstad, MO 62074",2022-12-23,2023-04-06,Churned,8,Frequent Shopper,West Alexanderburgh,Referral,2023-07-06,Yearly,PhonePro,Electronics,Phone,561,2023-08-24,-4,6,Care space there wall or.
42,Lisa White,150,F,Skinnerbury,Zambia,2708352692239011,"7887 Edwards Groves, East Kimberlyview, CT 69930",2022-09-09,2023-01-17,Churned,13,High Value,Port George,Paid Ads,2023-07-24,Yearly,LaptopMaster,Electronics,Laptop,384,2022-04-17,-2,1,Significant whatever assume.
43,Elizabeth Cunningham,72,M,Henryhaven,Colombia,2288675704312592,"8623 Booth Stravenue, Port Christopherhaven, AR 85980",2023-06-19,2023-06-29,Active,5,Occasional Shopper,West Scott,Referral,2023-08-18,Yearly,MegaSpeaker,Electronics,Speaker,-17,2022-08-12,-1,1,American here respond join.
44,Tyler Gonzales,79,M,Ellisville,Wallis and Futuna,2222752891131603,"Unit 8217 Box 3162, DPO AE 22822",2022-01-08,2022-02-23,Churned,9,Frequent Shopper,South Aarontown,Referral,2022-10-04,Rarely,ChairDeluxe,Furniture,Chair,547,2022-10-26,-1,1,Budget Democrat already network staff bar director.
45,Robin Day,18,M,East Tiffanyshire,Czech Republic,2270985895054246,"84234 Whitney Loaf Suite 548, New Jimmyshire, MN 10010",2021-10-18,2022-02-05,Churned,3,Occasional Shopper,North Paul,Paid Ads,2022-03-11,Rarely,ProJacket,Clothing,Jacket,673,2021-01-30,3,0,Article popular tax manager weight actually.
46,David Melendez,43,M,West Paulville,Wallis and Futuna,2523844244091406,"1442 Patricia Rapids Apt. 378, Martinstad, RI 21605",2022-09-29,2023-03-11,Churned,1,Occasional Shopper,Oliverhaven,Paid Ads,2023-04-03,Yearly,MegaSpeaker,Electronics,Speaker,-98,2021-02-20,-1,3,Hope age read chance remember day.
47,Andre Singh,150,M,West William,Lesotho,2720060788504925,"31836 Todd Knolls Apt. 255, Zacharyport, IA 83039",2023-05-17,2023-06-24,Active,5,Occasional Shopper,North Aliciamouth,Referral,2023-07-01,Yearly,PhoneMaster,Electronics,Phone,-62,2022-10-07,-2,-1,Partner find institution candidate candidate employee.
48,John Holmes,3,M,Johnberg,North Macedonia,5364104338888901,"762 Daniel Valley Suite 881, West James, MS 58307",2022-08-21,2023-04-23,Churned,14,High Value,Paulmouth,Organic Search,2023-06-16,Yearly,ComfortChair,Furniture,Chair,-6,2022-11-30,10,2,At note structure forget.
49,Nathan Ray,150,M,Port Kristenhaven,Qatar,5282631961477627,"205 Samantha Highway Suite 038, West Arthurfort, SD 15643",2023-04-20,2023-06-19,Active,15,High Value,East James,Organic Search,2023-07-19,Yearly,SpeakerMaster,Electronics,Speaker,839,2023-08-07,-3,2,Law protect operation little identify term agency option.
50,Stephen Dawson,-5,M,Danielsborough,Azerbaijan,2604973984183305,"785 Shaun Road, Gambleborough, LA 25007",2023-03-30,2023-05-04,Churned,11,High Value,Gonzalesmouth,Paid Ads,2023-08-15,Yearly,Non-fictionGuide,Books,Non-fiction,160,2021-11-05,-3,5,Magazine edge should hotel she small clearly.
51,Alexander Christian,0,F,Lake Franklin,Saint Pierre and Miquelon,2687525468881786,"1326 Burke Prairie, Robertmouth, OR 36539",2023-05-09,2023-05-27,Churned,14,High Value,North Georgeberg,Referral,2023-06-16,Yearly,EducationalGuide,Books,Educational,199,2020-10-23,-5,4,Include win tell sister tell will.
52,Catherine Williams,34,F,Kaylahaven,Belize,2250955786031557,"293 Hernandez Garden Apt. 720, Skinnerhaven, WV 55470",2022-12-28,2023-06-18,Active,10,Frequent Shopper,Bucktown,Referral,2023-08-03,Yearly,EducationalGuide,Books,Educational,264,2021-07-25,5,-1,Level business then kitchen between film word.
53,Kevin Phillips,150,F,Haleyborough,Gibraltar,2462049730155201,"PSC 9007, Box 2825, APO AP 96818",2022-07-08,2023-07-25,Active,15,High Value,Brownborough,Organic Search,2023-08-07,Yearly,PantsWear,Clothing,Pants,526,2023-08-05,5,6,Last magazine play book factor yourself.
54,Bradley Pennington,73,F,South Billy,Bahamas,2277355918628827,"981 Thomas Track, Banksville, OR 98862",2023-06-09,2023-07-05,Active,4,Occasional Shopper,Martinezhaven,Paid Ads,2023-08-07,Yearly,ComfortChair,Furniture,Chair,-7,2021-07-31,0,4,Perform mean budget.
55,Candace Hughes,4,F,Lake Edward,Dominica,2368584972981398,"PSC 2451, Box 7719, APO AP 65773",2022-02-23,2022-10-17,Churned,6,Frequent Shopper,Lake Dustin,Referral,2023-07-25,Yearly,ChairDeluxe,Furniture,Chair,840,2020-11-23,-3,4,Race pick friend.
56,Thomas Perez,-4,M,Thomasside,Cape Verde,2224861083159450,"031 Johnson Cliffs Apt. 851, Bruceburgh, MP 08053",2023-08-19,2023-08-24,Active,6,Frequent Shopper,Port Traceyport,Paid Ads,2023-08-25,Monthly,FictionTales,Books,Fiction,667,2022-12-11,-1,1,Common buy computer my.
57,Brandon Lowe,3,M,Michaelberg,Switzerland,2245712997903241,"559 Morris Stravenue Suite 341, Wendymouth, TN 91409",2022-05-28,2022-06-14,Churned,6,Frequent Shopper,South Coltonfurt,Organic Search,2023-03-19,Rarely,FictionTales,Books,Fiction,294,2021-06-16,0,5,Public star participant change ever quality.
58,Eric Martin,150,M,East Adam,Solomon Islands,2709860265475779,"066 Price Estates Apt. 087, Parkertown, NV 57006",2022-12-31,2023-05-07,Churned,5,Occasional Shopper,Kennethland,Referral,2023-07-04,Yearly,ShirtWear,Clothing,Shirt,-27,2021-09-16,-1,2,Skin citizen easy should television between key.
59,Kevin Mooney,150,F,Thorntonmouth,Ethiopia,2238852120716265,"560 Courtney Manor Apt. 875, South Kimberly, WY 83581",2021-10-16,2022-04-11,Churned,5,Occasional Shopper,Sharonside,Paid Ads,2023-07-12,Rarely,MegaLaptop,Electronics,Laptop,258,2022-03-17,-3,0,Reflect cold product live.
60,Clifford Johnson,58,F,Xavierfort,Namibia,2323799035068405,"8193 Adam Circle Suite 082, North Jacqueline, NM 19841",2023-03-27,2023-05-05,Churned,13,High Value,New Kellyshire,Paid Ads,2023-06-27,Yearly,,Clothing,Shirt,188,2022-10-20,2,2,Minute move police budget magazine method.
61,Willie Carter,2,M,Navarrobury,Montenegro,2353419831186847,"0498 Reynolds Glens Apt. 928, South Victoriachester, GU 88835",2021-12-07,2022-11-07,Churned,5,Occasional Shopper,Lake Robert,Referral,2023-07-01,Yearly,ShirtFits,Clothing,Shirt,-37,2023-03-19,8,-1,Win offer fund anything add perhaps personal.
62,Matthew Cardenas,150,F,Port Robertbury,Cuba,5582196663026673,"05614 Lisa Glen Apt. 661, Lake Tracyborough, VI 76574",2023-01-23,2023-06-13,Active,13,High Value,West Clintonhaven,Paid Ads,2023-06-22,Yearly,LaptopMaster,Electronics,Laptop,-95,2021-02-05,-2,2,Indicate television hit others song lose.
63,Robert Rivera,32,M,Carrville,Saint Vincent and the Grenadines,2363378653232949,"42125 Kevin Throughway Apt. 903, New Jennifer, NV 45169",2023-06-20,2023-07-22,Active,2,Occasional Shopper,Lake Paulfort,Organic Search,2023-08-02,Yearly,TastySnacks,Grocery,Snacks,-52,2022-07-07,-1,1,Lay wrong my new.
64,Shawn Green,54,M,Rojasshire,Nicaragua,5158477384222898,"402 Wallace Course, West Katherineport, VI 53571",2022-02-28,2022-08-02,Churned,3,Occasional Shopper,Stacymouth,Paid Ads,2023-05-06,Rarely,SnacksBurst,Grocery,Snacks,-73,2021-01-05,9,3,Present voice carry become.
65,Dylan Marshall,1,M,Keithburgh,Croatia,2246732557216007,"45527 Lewis Skyway, Perrymouth, NY 98162",2022-07-15,2023-04-16,Churned,15,High Value,West Bradleyburgh,Organic Search,2023-07-06,Yearly,EducationalTales,Books,Educational,-58,2022-09-13,-5,2,Determine yourself age table should without leave.
66,Ellen Richardson,150,F,Karenberg,South Georgia and the South Sandwich Islands,2700750953599254,"618 Savage Gardens, Smithfurt, MP 68592",2023-05-28,2023-07-09,Active,6,Frequent Shopper,Port Amy,Referral,2023-08-16,Yearly,PantsFits,Clothing,Pants,207,2023-04-20,1,-1,Experience buy draw Republican move.
67,Amy Phillips,1,F,Paulachester,Latvia,5163575914060911,"0496 David Squares Suite 403, Ricefort, KY 47855",2022-09-11,2023-04-29,Churned,12,High Value,Ryanhaven,Referral,2023-07-11,Yearly,UltraPhone,Electronics,Phone,-5,2021-05-21,-1,-1,Small five lead degree staff nothing.
68,Antonio Cox,63,F,Katherinefort,Equatorial Guinea,2414957688034344,"0639 Herman Lodge, South Sheila, UT 92930",2022-10-12,2022-11-15,Churned,2,Occasional Shopper,Johnsonview,Organic Search,2023-03-06,Yearly,SofaDeluxe,Furniture,Sofa,998,2022-03-20,8,2,Office seem economy decide child any most.
69,Mariah Smith,5,M,Morenobury,Germany,5166902130316579,"PSC 4797, Box 1755, APO AP 89199",2022-08-16,2023-05-25,Churned,7,Frequent Shopper,North Troy,Paid Ads,2023-06-20,Yearly,PantsWear,Clothing,Pants,-80,2022-03-06,-4,3,Various face speak.
70,Rachel King,2,F,Tinaville,Maldives,2706393946016518,"384 Amanda Place, Lake Julietown, UT 60031",2023-04-15,2023-07-30,Active,11,High Value,Karenview,Paid Ads,2023-07-30,Monthly,EducationalTales,Books,Educational,-8,2023-01-12,0,-1,Floor perform usually weight six main nearly.
71,Laura Woods MD,150,M,Petersfurt,Saint Helena,2257778838688890,"7118 William Curve Apt. 999, Reginaton, GU 36798",2022-08-24,2022-09-11,Churned,15,High Value,North Shawnmouth,Referral,2023-04-07,Yearly,FreshSnacks,Grocery,Snacks,-29,2021-07-12,0,-1,Science turn find decision anyone poor.
72,William Andrews,150,M,New Codyshire,Uruguay,2718545785271738,"2581 Miller Park, Lake Lindseyville, GA 34101",2021-09-15,2022-05-03,Churned,12,High Value,Thomasmouth,Organic Search,2023-03-16,Rarely,ProPants,Clothing,Pants,-36,2022-07-27,-5,0,Four sell happen so probably possible.
73,Kenneth Barton,89,M,East Jennifershire,Brunei Darussalam,2248093761352783,"929 Pearson Point Apt. 757, South Hannahview, AK 90299",2022-03-04,2022-05-20,Churned,9,Frequent Shopper,North Stephanie,Referral,2023-05-26,Rarely,PantsWear,Clothing,Pants,556,2021-12-07,8,3,Act collection performance worker.
74,Bonnie Ritter,4,F,Taylorview,Syrian Arab Republic,2271897790512914,"68097 Ramirez Junction Apt. 130, South Jeremy, KY 82062",2022-11-27,2023-02-22,Churned,6,Frequent Shopper,East Kendra,Paid Ads,2023-04-04,Yearly,JacketFits,Clothing,Jacket,77,2022-02-04,1,3,Step up claim suggest turn take ten spring.
75,Janet Pearson,150,F,Brianhaven,Timor-Leste,2228489205412072,"68954 Erica Flat, Davidberg, MI 47138",2021-10-10,2023-08-20,Active,5,Occasional Shopper,Perryland,Paid Ads,2023-08-23,Monthly,ChairPlus,Furniture,Chair,643,2021-10-06,8,4,Them leave amount reality especially kitchen national.
76,Zachary Johnson,74,M,Port Mary,Tonga,2630723571061994,"USNV Hinton, FPO AA 00809",2022-09-12,2022-09-15,Churned,8,Frequent Shopper,Port Keith,Referral,2023-04-07,Yearly,The Art of Educational,Books,Educational,-4,2021-07-21,6,4,Early series president.
77,Martha Wright,32,F,East Saraberg,Cayman Islands,2229716396154769,"45695 Cortez Route Apt. 786, Porterview, MA 70362",2022-10-08,2023-04-14,Churned,4,Occasional Shopper,East Marytown,Paid Ads,2023-07-04,Yearly,ProJacket,Clothing,Jacket,-2,2022-08-05,-1,4,Animal international only both.
78,Shelly Dixon,150,M,Joemouth,Somalia,5171401661782310,"583 Cook Rapids Suite 471, Carolmouth, MO 18408",2022-05-25,2023-02-05,Churned,4,Occasional Shopper,Jefferyborough,Referral,2023-07-13,Yearly,SofaDeluxe,Furniture,Sofa,581,2020-09-08,4,-1,Old capital foreign history consumer responsibility.
79,Michael Garcia,4,F,Jonesfort,Benin,2279444754299634,"Unit 3033 Box 1678, DPO AP 85594",2022-10-30,2023-01-25,Churned,1,Occasional Shopper,Thompsonmouth,Organic Search,2023-07-18,Yearly,PhoneMaster,Electronics,Phone,-74,2023-05-18,10,1,Mean end put operation need ball our news.
80,Kyle Peters,-5,M,North Michael,Mismatched Country,2720117551989756,"4941 Clifford Ports Suite 603, Port Peter, AZ 72158",2023-04-06,2023-06-21,Active,6,Frequent Shopper,East Sherri,Paid Ads,2023-07-29,Yearly,,Furniture,Table,853,2021-09-23,0,2,Within west item all.
81,Peter Pearson,150,M,South Martha,Armenia,2262128001026317,"64869 Jones Valleys, Thomasfort, OR 99123",2022-04-10,2023-07-06,Active,11,High Value,South Paulafort,Organic Search,2023-07-24,Yearly,The Art of Educational,Books,Educational,-53,2021-05-20,0,6,Former Democrat risk ready news.
82,Adam Woods,150,F,Nicholasmouth,Liberia,5323295217659031,"691 Brandon Radial Apt. 991, New Thomasmouth, KS 42714",2021-09-24,2022-08-23,Churned,11,High Value,Matthewton,Organic Search,2022-11-26,Rarely,MegaPhone,Electronics,Phone,132,2022-06-20,10,1,Own say purpose.
83,Grace Sandoval,150,F,Callahanside,Israel,5355292059267362,"90614 Jesse Forge, North Jacob, TN 92539",2021-12-01,2022-04-13,Churned,11,High Value,Port Michael,Referral,2023-08-19,Rarely,ComfortChair,Furniture,Chair,-42,2021-07-08,3,3,Board democratic same explain.
84,Laura Lowe,57,F,Byrdberg,Guam,2324064521716648,"99324 Bruce Mountains, Galvanhaven, KY 46824",2022-05-16,2022-11-05,Churned,12,High Value,Lake Pamela,Organic Search,2023-02-02,Yearly,The Art of Educational,Books,Educational,-72,2021-11-03,-5,6,Start clear company already economic act consumer.
85,Kathryn Newton,88,M,Marshburgh,Faroe Islands,2253129131694769,"0735 David Grove, East Jillianport, ND 65844",2021-11-05,2023-06-07,Active,14,High Value,New Trevor,Referral,2023-07-15,Yearly,FictionGuide,Books,Fiction,-70,2022-02-04,10,5,Receive education or.
86,Emily Miller,3,F,East Connorshire,Czech Republic,2289298593700592,"536 Patton Valleys Apt. 201, Jonesstad, MN 07451",2023-03-15,2023-06-11,Active,14,High Value,East Alyssahaven,Paid Ads,2023-07-27,Yearly,FreshSnacks,Grocery,Snacks,728,2022-06-24,-2,4,Drive from minute former produce small even smile.
